日期,主体ID,主体类型,主体名称,展现量,点击量,花费,点击率,平均点击花费,总成交金额,总成交笔数,点击转化率,总购物车数,收藏宝贝数,收藏店铺数,总收藏数,宝贝收藏成本
2026-03-13,552596420231,短视频,"轻奢风的家,太爱了",31,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,552596348379,短视频,你的小小后背,17,1,3.78,0.05882,3.78,0.00,0,0,0,0,0,0,
2026-03-13,552363453358,短视频,摸摸它的顺滑触感,389,31,38.09,0.07969,1.23,74.31,2,0.06452,4,2,0,2,19.05
2026-03-13,552231329831,短视频,试试抱着它吧温暖又舒适,18,2,5.76,0.11111,2.88,0.00,0,0,1,0,0,0,
2026-03-13,552045763549,短视频,"全棉的它,让你爱不释手",573,31,22.99,0.0541,0.74,0.00,0,0,9,1,0,1,22.99
2026-03-13,552037351613,短视频,四季可用沙发垫，法式氛围感瞬间拉满,5,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,552037323877,短视频,好物分享l异形经典百搭沙发垫,54,1,0.13,0.01852,0.13,0.00,0,0,0,0,0,0,
2026-03-13,551988272115,短视频,客厅布置\|我的梦中情房,32,3,2.50,0.09375,0.83,0.00,0,0,2,0,0,0,
2026-03-13,551987968238,短视频,秋冬氛围感沙发垫分享,922,61,78.38,0.06616,1.28,112.86,2,0.03279,9,3,0,3,26.13
2026-03-13,551954728795,短视频,"四季款沙发垫,客厅必备",361,22,36.28,0.06094,1.65,47.20,1,0.04545,3,0,0,0,
2026-03-13,551847925090,短视频,原创设计｜立体毛巾绣苹果兔抱枕,116,1,3.07,0.00862,3.07,0.00,0,0,0,0,0,0,
2026-03-13,551847585424,短视频,复古绿斑马纹理抱枕｜3D立体毛巾绣 不撞款的客厅焦点,21,2,1.60,0.09524,0.80,0.00,0,0,2,0,0,0,
2026-03-13,551847181252,短视频,法式蝴蝶结抱枕 重工立体毛巾绣 点亮轻奢复古客厅,78,3,7.49,0.03846,2.50,0.00,0,0,2,0,0,0,
2026-03-13,551806282033,短视频,沙发床上的小惊喜 五彩立体调色盘抱枕 让居家时光更活泼,6,1,4.19,0.16667,4.19,0.00,0,0,1,0,0,0,
2026-03-13,551805838141,短视频,【重磅刺绣】新年礼物红色RICH抱枕，提升家居格调必入,3,2,4.34,0.66667,2.17,0.00,0,0,0,0,0,0,
2026-03-13,551794657208,短视频,"沙发垫这样选,好看又耐脏",123,14,23.79,0.11382,1.70,0.00,0,0,9,0,1,1,
2026-03-13,551754190216,短视频,黑白灰极简风的客厅布置,7,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,551753738339,短视频,我真的太会买沙发垫了!,44,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,551683495744,短视频,低饱和粉调郁金香抱枕 做旧质感毛巾绣 不甜腻的复古浪漫,330,3,4.71,0.00909,1.57,0.00,0,0,0,0,0,0,
2026-03-13,551638039646,短视频,冬天的沙发垫我选半边绒,56,3,2.76,0.05357,0.92,0.00,0,0,2,1,0,1,2.76
2026-03-13,551561140322,短视频,质量杠杠的,427,16,39.49,0.03747,2.47,0.00,0,0,1,0,0,0,
2026-03-13,551413092616,短视频,"轻奢风沙发垫,四季通用",8,1,1.60,0.125,1.60,0.00,0,0,0,0,0,0,
2026-03-13,551253461002,短视频,新年布置\|年味十足的家,25,1,0.12,0.04,0.12,0.00,0,0,0,0,0,0,
2026-03-13,551252909318,短视频,美式高级感黑白斑马纹抱枕,4,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,551093875439,短视频,"复古田园风,让家更温馨",139,6,0.94,0.04317,0.16,0.00,0,0,0,1,0,1,0.94
2026-03-13,550985212692,短视频,新年氛围感家居好物分享,5,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,550787494876,短视频,"冬天宅家,当然要暖暖的啦",10,1,0.15,0.1,0.15,0.00,0,0,0,0,0,0,
2026-03-13,550669771841,短视频,法式复古雪尼尔沙发垫,4,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,550599421042,短视频,新年氛围感沙发垫分享,603,24,28.79,0.0398,1.20,221.90,4,0.16667,10,0,0,0,
2026-03-13,549622833146,短视频,新年氛围感\|我的年味小家,5,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,549462880694,短视频,新年布置\|我的年味小家,20,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,549059103368,短视频,新年氛围感家居好物分享,10,1,0.98,0.1,0.98,0.00,0,0,0,0,0,0,
2026-03-13,548713580814,短视频,M.life 中古风雪尼尔沙发垫高级感异形沙发套罩布巾四季款防猫抓,9032,280,147.50,0.031,0.53,0.00,0,0,14,3,0,3,49.17
2026-03-13,548656188901,短视频,新年氛围感家居好物分享,69,3,1.03,0.04348,0.34,0.00,0,0,0,0,0,0,
2026-03-13,548418767636,短视频,M.life 中古风异形小球球沙发垫高级感客厅沙发套罩布巾秋冬款,9618,265,148.90,0.02755,0.56,182.54,2,0.00755,43,3,0,3,49.63
2026-03-13,548406935891,短视频,M.life 床头软包靠背罩实木防撞软垫卧室改造床靠背枕方便可拆洗,7682,264,137.18,0.03437,0.52,146.75,1,0.00379,25,6,0,6,22.86
2026-03-13,547930443749,短视频,新年布置\|新中式客厅,868,35,67.61,0.04032,1.93,137.42,3,0.08571,9,3,0,3,22.54
2026-03-13,544620767154,短视频,新年氛围感家居好物分享,8,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,542627036326,短视频,好物分享l 秋冬毛绒抱枕来了,34,1,2.07,0.02941,2.07,0.00,0,0,3,0,0,0,
2026-03-13,540791442966,短视频,慢生活mlife家居生活新风尚,459,20,39.17,0.04357,1.96,0.00,0,0,1,0,2,2,
2026-03-13,538016252131,短视频,四季通用的玉米绒沙发垫,123,4,8.43,0.03252,2.11,0.00,0,0,0,1,0,1,8.43
2026-03-13,538015372788,短视频,"绣雏菊沙发垫,让家更温馨",1124,53,47.40,0.04715,0.89,0.00,0,0,9,2,0,2,23.70
2026-03-13,537916670586,短视频,好物分享l水洗全棉四季可用沙发垫,808,44,44.17,0.05446,1.00,42.65,1,0.02273,9,0,0,0,
2026-03-13,537573440852,短视频,软萌好RUA！原创毛巾绣苹果兔抱枕，萌趣满分！,80,4,6.06,0.05,1.52,40.92,1,0.25,0,0,0,0,
2026-03-13,536415651226,短视频,?一整个爱住！这颗毛茸茸的红苹果，软fufu到心巴上～,545,14,19.78,0.02569,1.41,0.00,0,0,1,0,0,0,
2026-03-13,536415559340,短视频,小众控必入！神仙颜值的满绣苔藓抱枕来了！,3163,80,126.37,0.02529,1.58,36.77,1,0.0125,19,0,1,1,
2026-03-13,535585082897,短视频,萌化了！原创苹果兔毛巾绣抱枕，毛茸茸手感太上头！,871,19,57.60,0.02181,3.03,46.17,1,0.05263,3,0,1,1,
2026-03-13,535447529073,短视频,绝非普通印花！解锁毛巾绣斑马抱枕，拯救单调沙发！,215,6,10.66,0.02791,1.78,45.60,1,0.16667,1,0,0,0,
2026-03-13,535241842685,短视频,谁还没拥有这款蝴蝶结抱枕 ！,2493,74,131.07,0.02968,1.77,356.16,8,0.10811,19,0,0,0,
2026-03-13,532636393176,短视频,这款复古客厅少女心沙发抱枕真是颜值担当！,375,19,22.26,0.05067,1.17,0.00,0,0,2,1,0,1,22.26
2026-03-13,532515685685,短视频,软！萌！暖！原创苹果兔毛巾绣抱枕，治愈系抱感来袭~,1188,30,67.75,0.02525,2.26,0.00,0,0,11,0,0,0,
2026-03-13,531569199631,短视频,“它”在等你回家！精致毛巾绣苹果兔抱枕，赋予家居温度与灵魂。,1186,44,118.61,0.0371,2.70,35.91,1,0.02273,11,1,1,2,118.61
2026-03-13,530797208465,短视频,高级感玉米绒四季可用软fufu靠背！,986,33,48.72,0.03347,1.48,381.25,3,0.09091,3,1,1,2,48.72
2026-03-13,530750622143,短视频,谁家还没有买这款三角形软靠背，真是超级舒服！,224,17,32.46,0.07589,1.91,254.20,2,0.11765,2,0,0,0,
2026-03-13,530699336540,短视频,儿童房软装必备的软fufu靠背！,564,37,54.04,0.0656,1.46,0.00,0,0,7,1,0,1,54.04
2026-03-13,530696684580,短视频,居家必备，软靠背放在任何角落都行！,15,1,0.16,0.06667,0.16,0.00,0,0,0,0,0,0,
2026-03-13,530696308316,短视频,谁还没有这款床头靠背啊！真是太舒服了！,301,17,27.27,0.05648,1.60,0.00,0,0,2,0,0,0,
2026-03-13,530649570870,短视频,儿童房这个大象靠背可爱到我了！,2,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,530647050636,短视频,软包幸福感，北欧现代百搭靠背,1360,59,72.73,0.04338,1.23,147.25,1,0.01695,9,0,0,0,
2026-03-13,530418176209,短视频,入冬了，谁家还没铺上这款绒感地垫啊！,169,5,3.83,0.02959,0.77,0.00,0,0,0,0,0,0,
2026-03-13,530369678295,短视频,有没有人能懂一下，这款棉麻材质的床头靠背有多舒服！,724,22,34.39,0.03039,1.56,122.22,1,0.04545,5,0,0,0,
2026-03-13,530039838129,短视频,好物分享l十字纹皮面抱枕,163,3,2.64,0.0184,0.88,0.00,0,0,1,0,0,0,
2026-03-13,529937770007,短视频,四季可用 中古异形沙发垫！,769,25,26.19,0.03251,1.05,0.00,0,0,1,0,0,0,
2026-03-13,529321370204,短视频,家的焕新好物l四季可用的异形沙发垫,511,25,46.63,0.04892,1.87,118.32,3,0.12,4,1,0,1,46.63
2026-03-13,528938064253,短视频,侘寂风长条抱枕  家居必备！,727,22,54.61,0.03026,2.48,0.00,0,0,5,0,1,1,
2026-03-13,527170934899,短视频,没人能比我的蒲团更好看，因为我是。。,3158,73,72.13,0.02312,0.99,29.31,1,0.0137,18,0,1,1,
2026-03-13,527134583803,短视频,我的椅子终于不再冷我的pp了！,352,17,10.08,0.0483,0.59,0.00,0,0,1,0,0,0,
2026-03-13,526044575471,短视频,这款田园风格的垫子 四季可用快来看看吧!,5230,204,91.01,0.03901,0.45,127.72,6,0.02941,37,4,3,7,22.75
2026-03-13,525550264759,短视频,治愈系家居好物！链条绣\+毛巾绣粉郁金香抱枕，小众高级有品位,176,3,7.31,0.01705,2.44,121.80,1,0.33333,1,0,0,0,
2026-03-13,525484054336,短视频,好物分享l日式棉麻蒲团坐垫！,90,4,5.84,0.04444,1.46,0.00,0,0,3,0,0,0,
2026-03-13,525149963536,短视频,温柔狙击！粉郁金香抱枕，双绣工艺，治愈力满分！,88,3,7.57,0.03409,2.52,0.00,0,0,0,0,0,0,
2026-03-13,525092257094,短视频,奶呼呼的南瓜圆枕，请查收！,742,18,22.89,0.02426,1.27,0.00,0,0,3,1,0,1,22.89
2026-03-13,524754881004,短视频,? 给沙发加个“艺术展”！毛巾绣抱枕，小众品味之选~,1,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,522722596526,短视频,治愈系家居好物！能“摸”到花瓣的粉郁金香抱枕,127,2,1.64,0.01575,0.82,0.00,0,0,1,0,0,0,
2026-03-13,522527933014,短视频,全棉帆布白底抱枕 立体毛巾绣小雏菊 可拆洗,1108,26,37.15,0.02347,1.43,145.74,4,0.15385,5,1,1,2,37.15
2026-03-13,521828092571,短视频,高级定制感！双工艺链条绣毛巾绣郁金香抱枕，小众格调家居必备,726,21,28.55,0.02893,1.36,34.32,1,0.04762,0,0,0,0,
2026-03-13,521206416875,短视频,毛巾绣郁金香抱枕！温柔裸粉色太戳心巴！,1728,42,85.94,0.02431,2.05,140.94,4,0.09524,13,1,0,1,85.94
2026-03-13,520432630221,短视频,懒人沙发CP锁死！郁金香毛巾绣抱枕，宅家幸福感\+N,78,1,3.44,0.01282,3.44,0.00,0,0,0,0,0,0,
2026-03-13,520262215795,短视频,巨软糯的郁金香抱枕刺绣细节绝了，宅家幸福感超强,1045,21,36.42,0.0201,1.73,0.00,0,0,4,0,0,0,
2026-03-13,506586023491,短视频,新年新气象，快来给自己的沙发装扮一下吧！,38,2,0.36,0.05263,0.18,0.00,0,0,0,0,0,0,
2026-03-13,502556087109,短视频,年关将至 给沙发换个新年装扮,11,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,501776323133,短视频,新年哪能少的了国风抱枕啊!!!,12,1,0.94,0.08333,0.94,0.00,0,0,0,0,0,0,
2026-03-13,501594849529,短视频,新年抱枕上新~恭喜发财，共贺新春!,13,1,0.14,0.07692,0.14,0.00,0,0,0,0,0,0,
2026-03-13,448976611292,短视频,新年氛围感\|新年宅家布置,17,1,0.02,0.05882,0.02,0.00,0,0,0,0,0,0,
2026-03-13,447695134038,短视频,"日式棉麻蒲团,圆形胖墩墩,坐感舒适",647,20,20.09,0.03091,1.00,0.00,0,0,6,0,0,0,
2026-03-13,447047544009,短视频,忍不住分享一个超老实的坐垫！,2785,118,245.38,0.04237,2.08,491.55,11,0.09322,33,4,2,6,61.35
2026-03-13,446578190359,短视频,100%全棉沙发垫，新年宅家必备,15,1,0.18,0.06667,0.18,0.00,0,0,0,0,0,0,
2026-03-13,446577394488,短视频,新年宅家，少不了的躺平伴侣,257,15,24.76,0.05837,1.65,313.64,3,0.2,4,2,0,2,12.38
2026-03-13,446175681460,短视频,我为什么没有早点买这个沙发垫！！！,88,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,445931457673,短视频,新年宅家，怎么少得了它！,141,4,9.48,0.02837,2.37,0.00,0,0,1,0,1,1,
2026-03-12,555519041535,短视频,可爱家居,153,3,5.73,0.01961,1.91,60.55,2,0.66667,0,0,0,0,
2026-03-12,555458610849,短视频,奶油风的家,167,9,8.16,0.05389,0.91,0.00,0,0,1,0,0,0,
2026-03-12,555458290062,短视频,沙发垫的正确打开方式,154,7,13.88,0.04545,1.98,0.00,0,0,2,0,0,0,
2026-03-12,555372737835,短视频,"黑白配的家,太高级了!",30,1,0.11,0.03333,0.11,0.00,0,0,0,0,0,0,
2026-03-12,555372621340,短视频,高级感黑白灰客厅搭配,74,2,1.23,0.02703,0.62,0.00,0,0,0,0,0,0,
2026-03-12,555312322684,短视频,抱枕的颜值真的太高了!,27,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,555306753035,短视频,沉浸式宅家\|我的古风小家,245,9,10.27,0.03673,1.14,0.00,0,0,0,0,0,0,
2026-03-12,555293096238,短视频,侘寂风家里的野性点缀！黑白斑马毛巾绣抱枕，温柔中带点不羁,111,4,3.08,0.03604,0.77,0.00,0,0,0,0,0,0,
2026-03-12,555286652862,短视频,小众设计感艺术抱枕，为颜控而生，怎么搭都好看 ?,132,3,4.95,0.02273,1.65,0.00,0,0,0,0,0,0,
2026-03-12,555286004078,短视频,"黑白灰的家,太有氛围了",74,1,1.77,0.01351,1.77,0.00,0,0,0,0,0,0,
2026-03-12,555175200204,短视频,抱枕的颜值真的太高了!,319,6,13.20,0.01881,2.20,119.70,2,0.33333,3,1,0,1,13.20
2026-03-12,555126645572,短视频,这也太犯规了！蛋糕宝宝毛巾绣抱枕萌到爆炸，少女心收割机,22,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,555125925749,短视频,复古又高级！毛茸茸挂耳狗抱枕，治愈系天花板！?,35,1,1.73,0.02857,1.73,0.00,0,0,7,0,1,1,
2026-03-12,555119213859,短视频,"中古风的家,太爱了!",24,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,555064662823,短视频,艺术生的私藏！手绘感抽象线条抱枕，每一根线条都长在审美点上,70,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,555059874294,短视频,一眼心动！韩系ins风向日葵抱枕，氛围感绝了,629,15,20.69,0.02385,1.38,85.00,1,0.06667,5,0,1,1,
2026-03-12,555007321455,短视频,黑白灰极简客厅布置,91,3,8.14,0.03297,2.71,0.00,0,0,0,0,0,0,
2026-03-12,554950138297,短视频,"黑白配,永远的经典",43,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,554926163106,短视频,氛围感家居,138,6,3.99,0.04348,0.67,0.00,0,0,0,0,0,0,
2026-03-12,554817151105,短视频,法式轻奢香风客厅沙发抱枕,54,2,3.07,0.03704,1.54,0.00,0,0,0,0,0,0,
2026-03-12,554057120348,短视频,"黑白灰的家,太有氛围了",102,3,4.34,0.02941,1.45,0.00,0,0,0,0,0,0,
2026-03-12,553732269147,短视频,"复古风的家,太爱了!",166,8,10.71,0.04819,1.34,0.00,0,0,2,2,0,2,5.36
2026-03-12,553375677357,短视频,靠它,809,26,57.62,0.03214,2.22,104.00,2,0.07692,10,0,1,1,
2026-03-12,553306503958,短视频,治愈系小家!,164,3,2.17,0.01829,0.72,0.00,0,0,0,0,0,0,
2026-03-12,553203143361,短视频,日光下的舒适,143,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,553202691374,短视频,温暖的家可靠的它,60,3,2.54,0.05,0.85,0.00,0,0,1,0,0,0,
2026-03-12,553097912376,短视频,居家放松\|我的卧室我做主,320,7,19.52,0.02187,2.79,164.92,4,0.57143,10,0,0,0,
2026-03-12,552764607058,短视频,一眼惊艳的抱枕,8,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,552740205709,短视频,摸摸，轻飘柔顺,176,7,22.62,0.03977,3.23,0.00,0,0,3,0,0,0,
2026-03-12,552596420231,短视频,"轻奢风的家,太爱了",41,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,552596348379,短视频,你的小小后背,19,1,0.08,0.05263,0.08,0.00,0,0,0,0,0,0,
2026-03-12,552363453358,短视频,摸摸它的顺滑触感,505,38,33.94,0.07525,0.89,58.90,1,0.02632,12,1,1,2,33.94
2026-03-12,552231329831,短视频,试试抱着它吧温暖又舒适,16,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,552045763549,短视频,"全棉的它,让你爱不释手",687,36,20.58,0.0524,0.57,145.00,1,0.02778,6,3,0,3,6.86
2026-03-12,552037351613,短视频,四季可用沙发垫，法式氛围感瞬间拉满,14,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,552037323877,短视频,好物分享l异形经典百搭沙发垫,67,2,1.44,0.02985,0.72,0.00,0,0,0,0,0,0,
2026-03-12,551988272115,短视频,客厅布置\|我的梦中情房,24,2,0.67,0.08333,0.34,0.00,0,0,0,0,0,0,
2026-03-12,551987968238,短视频,秋冬氛围感沙发垫分享,1075,50,59.49,0.04651,1.19,150.75,2,0.04,9,1,1,2,59.49
2026-03-12,551954728795,短视频,"四季款沙发垫,客厅必备",420,18,21.55,0.04286,1.20,0.00,0,0,5,0,1,1,
2026-03-12,551847925090,短视频,原创设计｜立体毛巾绣苹果兔抱枕,59,2,9.26,0.0339,4.63,0.00,0,0,0,0,0,0,
2026-03-12,551847585424,短视频,复古绿斑马纹理抱枕｜3D立体毛巾绣 不撞款的客厅焦点,10,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,551847181252,短视频,法式蝴蝶结抱枕 重工立体毛巾绣 点亮轻奢复古客厅,93,1,1.14,0.01075,1.14,0.00,0,0,0,0,0,0,
2026-03-12,551806282033,短视频,沙发床上的小惊喜 五彩立体调色盘抱枕 让居家时光更活泼,4,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,551805838141,短视频,【重磅刺绣】新年礼物红色RICH抱枕，提升家居格调必入,2,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,551794657208,短视频,"沙发垫这样选,好看又耐脏",124,13,32.32,0.10484,2.49,0.00,0,0,4,0,0,0,
2026-03-12,551754190216,短视频,黑白灰极简风的客厅布置,9,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,551753738339,短视频,我真的太会买沙发垫了!,192,8,8.52,0.04167,1.07,0.00,0,0,0,0,0,0,
2026-03-12,551683495744,短视频,低饱和粉调郁金香抱枕 做旧质感毛巾绣 不甜腻的复古浪漫,262,16,35.46,0.06107,2.22,48.72,1,0.0625,1,0,0,0,
2026-03-12,551638039646,短视频,冬天的沙发垫我选半边绒,54,2,1.19,0.03704,0.60,0.00,0,0,0,0,0,0,
2026-03-12,551561140322,短视频,质量杠杠的,584,19,48.25,0.03253,2.54,0.00,0,0,3,0,0,0,
2026-03-12,551413092616,短视频,"轻奢风沙发垫,四季通用",5,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,551253461002,短视频,新年布置\|年味十足的家,16,1,0.32,0.0625,0.32,0.00,0,0,0,0,0,0,
2026-03-12,551252909318,短视频,美式高级感黑白斑马纹抱枕,6,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,551093875439,短视频,"复古田园风,让家更温馨",96,8,2.87,0.08333,0.36,0.00,0,0,0,0,0,0,
2026-03-12,550985212692,短视频,新年氛围感家居好物分享,9,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,550787494876,短视频,"冬天宅家,当然要暖暖的啦",6,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,550669771841,短视频,法式复古雪尼尔沙发垫,10,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,550599421042,短视频,新年氛围感沙发垫分享,388,12,13.90,0.03093,1.16,0.00,0,0,2,0,0,0,
2026-03-12,549622833146,短视频,新年氛围感\|我的年味小家,6,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,549462880694,短视频,新年布置\|我的年味小家,35,1,0.33,0.02857,0.33,0.00,0,0,0,0,0,0,
2026-03-12,549059103368,短视频,新年氛围感家居好物分享,8,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,548713580814,短视频,M.life 中古风雪尼尔沙发垫高级感异形沙发套罩布巾四季款防猫抓,8757,267,147.18,0.03049,0.55,213.00,3,0.01124,5,4,0,4,36.80
2026-03-12,548656188901,短视频,新年氛围感家居好物分享,71,2,1.80,0.02817,0.90,0.00,0,0,0,0,0,0,
2026-03-12,548418767636,短视频,M.life 中古风异形小球球沙发垫高级感客厅沙发套罩布巾秋冬款,8347,277,147.91,0.03319,0.53,0.00,0,0,20,3,0,3,49.30
2026-03-12,548406935891,短视频,M.life 床头软包靠背罩实木防撞软垫卧室改造床靠背枕方便可拆洗,6139,263,138.61,0.04284,0.53,140.36,1,0.0038,40,2,4,6,69.31
2026-03-12,547930443749,短视频,新年布置\|新中式客厅,976,42,61.97,0.04303,1.48,0.00,0,0,11,1,0,1,61.97
2026-03-12,544620767154,短视频,新年氛围感家居好物分享,11,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-12,542627036326,短视频,好物分享l 秋冬毛绒抱枕来了,34,2,7.52,0.05882,3.76,0.00,0,0,0,0,0,0,
2026-03-12,540791442966,短视频,慢生活mlife家居生活新风尚,580,20,43.64,0.03448,2.18,136.29,2,0.1,2,0,0,0,
2026-03-12,538016252131,短视频,四季通用的玉米绒沙发垫,155,6,12.47,0.03871,2.08,75.60,1,0.16667,0,0,0,0,
2026-03-12,538015372788,短视频,"绣雏菊沙发垫,让家更温馨",1155,52,38.90,0.04502,0.75,0.00,0,0,15,0,1,1,
2026-03-12,537916670586,短视频,好物分享l水洗全棉四季可用沙发垫,961,47,43.32,0.04891,0.92,0.00,0,0,7,0,0,0,
2026-03-12,537573440852,短视频,软萌好RUA！原创毛巾绣苹果兔抱枕，萌趣满分！,117,5,9.87,0.04274,1.97,0.00,0,0,0,0,0,0,
2026-03-12,536415651226,短视频,?一整个爱住！这颗毛茸茸的红苹果，软fufu到心巴上～,507,11,30.40,0.0217,2.76,0.00,0,0,6,0,0,0,
2026-03-12,536415559340,短视频,小众控必入！神仙颜值的满绣苔藓抱枕来了！,2522,94,140.12,0.03727,1.49,322.11,6,0.06383,25,0,1,1,
2026-03-12,535585082897,短视频,萌化了！原创苹果兔毛巾绣抱枕，毛茸茸手感太上头！,835,17,41.84,0.02036,2.46,85.85,2,0.11765,4,0,0,0,
2026-03-12,535447529073,短视频,绝非普通印花！解锁毛巾绣斑马抱枕，拯救单调沙发！,191,6,18.40,0.03141,3.07,0.00,0,0,3,0,0,0,
